panelist,session,rank,product,cocoa_a,milk_a,cocoa_f,milk_f,caramel,vanilla,sweetness,acidity,bitterness,astringency,crunchy,melting,sticky,granular
id_024,session_02,order_01,choc1,7,3,7,1,0,0,2,6,4,7,7,6,2,2
id_024,session_02,order_03,choc4,6,4,5,1,1,0,6,6,3,4,7,4,6,2
id_024,session_02,order_05,choc2,5,4,7,2,1,0,6,4,3,6,8,5,6,2
id_024,session_02,order_06,choc6,6,3,6,1,2,2,6,3,4,7,5,4,8,3
id_025,session_02,order_05,choc1,8,6,8,3,2,0,5,0,7,7,6,8,1,1
id_025,session_02,order_06,choc4,8,6,8,3,4,0,5,0,6,5,9,8,1,0
id_025,session_02,order_02,choc6,7,6,6,1,3,0,7,0,6,3,9,7,3,1
id_025,session_02,order_04,choc2,8,6,7,1,4,0,6,1,6,3,7,8,1,0
id_025,session_02,order_03,choc5,7,5,5,2,8,6,8,0,4,4,9,8,5,1
id_025,session_02,order_01,choc3,8,2,5,3,3,0,6,1,3,0,1,7,5,1
id_026,session_02,order_02,choc1,6,5,8,2,0,0,1,1,9,1,6,3,2,4
id_026,session_02,order_04,choc2,7,3,6,2,4,3,1,4,2,3,7,5,2,3
id_026,session_02,order_03,choc5,7,2,3,1,6,1,6,2,2,4,8,4,6,1
id_026,session_02,order_05,choc4,3,7,3,6,8,2,8,1,3,3,7,4,3,1
id_026,session_02,order_01,choc3,7,4,3,4,7,2,8,0,1,1,4,5,7,0
id_026,session_02,order_06,choc6,5,2,6,2,6,2,6,3,4,6,8,5,4,1
id_027,session_02,order_01,choc5,6,4,8,2,3,5,2,8,7,3,9,7,2,1
id_027,session_02,order_06,choc2,7,7,7,6,2,4,7,3,4,2,9,8,3,1
id_027,session_02,order_03,choc4,8,2,7,2,1,3,6,6,7,2,8,6,2,1
id_027,session_02,order_05,choc6,7,8,6,7,1,5,5,7,2,1,9,5,4,1
id_027,session_02,order_04,choc1,7,7,9,1,1,1,4,8,6,6,9,7,3,2
id_027,session_02,order_02,choc3,6,7,6,6,1,3,8,3,4,1,6,4,5,2
id_028,session_02,order_01,choc2,8,1,9,0,0,0,6,2,7,1,6,4,5,2
id_028,session_02,order_05,choc3,5,8,5,6,10,5,9,0,1,0,2,9,6,1
id_028,session_02,order_04,choc4,7,0,7,0,0,2,7,0,5,3,7,1,6,5
id_028,session_02,order_06,choc5,8,2,9,0,1,2,6,3,6,2,5,4,1,5
id_028,session_02,order_02,choc6,8,3,7,0,0,1,7,3,6,4,5,6,5,3
id_028,session_02,order_03,choc1,9,0,9,0,0,1,4,5,9,7,2,3,4,2
id_029,session_02,order_05,choc1,1,2,8,4,2,0,1,5,10,2,3,2,0,1
id_029,session_02,order_04,choc5,5,7,9,6,2,0,2,1,7,6,1,8,0,0
id_029,session_02,order_03,choc2,1,2,8,2,1,0,3,6,5,5,9,3,0,0
id_029,session_02,order_01,choc6,8,3,8,1,1,0,6,1,5,3,7,7,1,0
id_029,session_02,order_02,choc4,3,7,3,5,7,4,6,0,2,1,1,7,0,0
id_029,session_02,order_06,choc3,0,1,0,9,10,9,10,1,0,0,2,8,0,0
